"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
2x2x2;00:06.246;R' U2 F R U R' F U2 R2 U R';2019-08-23 16:39;no;no;1566589941801;
2x2x2;00:06.820;U' R U2 R2 U F U2 R2 F' U2 R2;2019-08-23 16:37;no;no;1566589941801;
2x2x2;00:08.165;U R U2 R2 U2 F U' F R U' R2;2019-08-22 20:20;no;no;1566518128776;
2x2x2;00:08.107;U' R' F U' F R U2 R' F' R U';2019-08-22 20:20;no;no;1566518128776;
2x2x2;00:08.570;U2 R2 U2 F U' F' R U2 R' F' U';2019-08-22 20:19;no;no;1566518128776;
2x2x2;00:05.768;R F' U R' F U' F R U R F';2019-08-22 20:19;no;no;1566518128776;
2x2x2;00:08.351;R2 U' R' U2 R' F U2 R2 U' F' R';2019-08-22 20:18;no;no;1566518128776;
2x2x2;00:03.970;R' U F U2 F' R U' R' F U2 R2;2019-08-22 20:18;no;no;1566518128776;
2x2x2;00:08.098;U R U R' F R2 U' R U2 R' U';2019-08-22 20:18;no;no;1566518128776;
2x2x2;00:06.478;U' F U2 F R U' R' U R U R';2019-08-22 20:17;no;no;1566518128776;
2x2x2;00:04.265;U F R2 U2 R' U' R U' R2 F U2;2019-08-22 20:17;no;no;1566518128776;
2x2x2;00:05.074;R' F' U R U R U2 F' U' R2 F;2019-08-22 20:17;no;no;1566518128776;
2x2x2;00:09.287;R' U F U2 F U' F U F U2 R2;2019-08-22 20:17;no;no;1566518128776;
2x2x2;00:03.842;R' U2 R2 F' R' U' R' U' R U R';2019-08-22 20:16;no;no;1566518128776;
2x2x2;00:04.758;F U2 F' R U' R' U R U' R U2;2019-08-22 20:15;no;no;1566518128776;
2x2x2;00:06.003;R' F' U' F U' F U' R2 F' U' R2;2019-08-22 20:15;no;no;1566518128776;
2x2x2;00:05.992;U R U' R2 U R2 U R F' R2 U2;2019-08-22 20:13;no;no;1566518128776;
2x2x2;00:07.281;U R' U' R U2 R' U R2 F' U' F';2019-08-22 20:12;no;no;1566518128776;
2x2x2;00:04.142;U R' U' R2 F2 R U2 R' U' F U2;2019-08-22 20:11;no;no;1566518128776;
2x2x2;00:04.648;U R' F R U' F R U' R U2 F';2019-08-22 20:08;no;no;1566518128776;
2x2x2;00:07.967;U' R' U' F' R2 F' U2 R2 U' R2 U';2019-08-22 20:08;no;no;1566518128776;
2x2x2;00:06.138;R' F' U2 R U R' F R2 F' U2 R;2019-08-22 20:07;no;no;1566518128776;
2x2x2;00:07.489;U2 R' F' U' R2 F R U' R U' F;2019-08-22 20:03;no;no;1566518128776;
2x2x2;00:06.098;U R F' R F' R' U R' F U2 R;2019-08-22 20:03;no;no;1566518128776;
2x2x2;00:03.750;U' F U2 R U2 R U2 R2 F2 U' R;2019-08-22 20:03;no;no;1566518128776;
2x2x2;00:07.678;U' F R' U2 F U' R U R' U' R;2019-08-22 20:02;no;no;1566518128776;
2x2x2;00:05.825;U R' U2 F U' R U' R' F U' R';2019-08-22 20:00;no;no;1566518128776;
2x2x2;00:11.862;R' F2 U' R U R' U' F R2 U2 F';2019-07-13 12:05;no;no;1563030528521;
2x2x2;00:03.984;R' F' R U' R U2 R2 U2 F' U2 R2;2018-08-30 20:52;no;no;1535676521714;
2x2x2;00:06.856;R' U' R U' R' U' F2 U' R2 U' R2;2018-08-30 20:51;no;no;1535676521714;
2x2x2;00:11.466;U' R' U R' U' F U2 F' U R' F;2018-08-30 20:50;no;no;1535676521714;
2x2x2;00:07.342;R' U R U2 R2 U F R U' R' U';2018-08-30 20:50;no;no;1535676521714;
2x2x2;00:06.422;U R F' U' R2 F U2 F U' R U';2018-08-30 20:50;no;no;1535676521714;
2x2x2;00:04.745;R' U' F U2 F' R U2 R' F' U2 F';2018-08-30 20:49;no;no;1535676521714;
2x2x2;00:12.095;R' U2 R2 U2 R' F U2 F U2 R2 U';2018-08-30 20:49;no;no;1535676521714;
2x2x2;00:12.128;R' U' F2 R U2 F' R' U2 R' U2 F;2018-07-22 13:50;no;no;1532280132968;
2x2x2;00:11.276;R U' R2 F R2 F' R2 F R2 F' R2;2018-07-22 13:49;no;no;1532280132968;
2x2x2;00:15.767;U R' F R U' R' U' F' R2 F2 U;2018-07-22 13:49;no;no;1532280132968;
2x2x2;00:10.498;R U' R2 U' R2 F' R F' R' U R';2018-07-22 13:48;no;no;1532280132968;
2x2x2;00:11.664;U R F' R F' R' U R' F U2 R;2018-07-22 13:48;no;no;1532280132968;
2x2x2;00:13.701;R' F' U' R U' R U2 F R' F R2;2018-07-22 13:46;no;no;1532280132968;
2x2x2;00:14.253;R' U2 F U2 R U' R F' R2 U' F;2018-07-22 13:45;no;no;1532280132968;
2x2x2;00:13.288;R U2 R U2 R' U R F R U2 R;2018-07-22 13:45;no;no;1532280132968;
2x2x2;00:12.992;R' U R U' R' F' R U' R' U2 F';2018-07-22 13:44;no;no;1532280132968;
2x2x2;00:08.320;R' F U2 F' R2 U2 R' U2 R' F' U2;2018-07-22 13:43;no;no;1532280132968;
2x2x2;00:18.707;R' F' R2 U' R2 U2 R2 U' R2 F2 U';2018-07-22 13:43;no;no;1532280132968;
2x2x2;00:13.356;U' R' F U2 R U' R2 F U' R U';2018-07-22 13:43;no;no;1532280132968;
2x2x2;00:14.141;R F' U' F' U2 F' U' R2 U' R U;2018-07-22 13:42;no;no;1532280132968;
2x2x2;00:08.775;U2 R2 F R U2 R' U' R U2 R F';2018-07-22 13:42;no;no;1532280132968;
2x2x2;00:08.035;R' U' F' R2 F' R' U R' F R2 F';2018-07-22 13:42;no;no;1532280132968;
2x2x2;00:11.722;U R' U2 F R2 U2 F' R' F U' R;2018-07-22 13:41;no;no;1532280132968;
2x2x2;00:13.885;R' F' R2 U' R' U2 F R' U2 F U2;2018-07-22 13:41;no;no;1532280132968;
2x2x2;00:12.357;R' U R' F U R U2 R' U2 R2 U2;2018-07-22 13:40;no;no;1532280132968;
2x2x2;00:13.943;R' U' F U' R2 U R' F R U2 R2;2018-07-22 13:39;no;no;1532280132968;
2x2x2;00:07.560;U R' F' U2 F' U' F U' F R' U';2018-07-22 13:39;no;no;1532280132968;
2x2x2;00:08.260;R' U' R2 U' R2 U' F' R U R' U';2018-07-22 13:39;no;no;1532280132968;
2x2x2;00:13.385;U' F' U' R2 F R2 U' R2 F R' F;2018-07-22 13:38;no;no;1532280132968;
2x2x2;00:13.165;U2 R U' F' U' R2 U F' U R U;2018-07-22 13:37;no;no;1532280132968;
2x2x2;00:14.546;U2 R U2 R' U R2 U' F U' F2 U2;2018-07-22 13:36;no;no;1532280132968;
2x2x2;00:12.387;U2 R F' U' F U2 R2 U' R2 F U2;2018-07-22 13:35;no;no;1532280132968;
2x2x2;00:07.121;U F U' F U2 R' U' R2 U' R' U';2018-07-22 13:35;no;no;1532280132968;
2x2x2;00:11.369;U2 R F' R2 U2 F U2 F' U2 R U2;2018-07-22 13:34;no;no;1532280132968;
2x2x2;00:12.446;F' R2 U' R U' R F R' U2 R U;2018-07-22 13:34;no;no;1532280132968;
2x2x2;00:13.642;U' R' U R2 U' R2 F' R U R' U2;2018-07-22 13:33;no;no;1532280132968;
